view,danmaku,reply,favorite,coin,share,like,interact_rate,like_rate,coin_rate
1.0,0.5059285643613581,0.4225173288104151,0.41216855583700135,0.4696839083564585,0.4793676051107789,0.24049017453118454,-0.5001425773391872,-0.5076598924686034,0.3516168971009074
0.5059285643613581,1.0,0.8653370522382422,0.8355669114613498,0.8873170581636665,0.8811025525369913,0.8046377974293769,0.15459826110874622,0.12618363815083486,0.7602415252310353
0.4225173288104151,0.8653370522382422,1.0,0.8649378268929796,0.8941597030962011,0.8682622109668333,0.855771575380656,0.27052455699190664,0.22243903260495804,0.81334882622692
0.41216855583700135,0.8355669114613498,0.8649378268929796,1.0,0.8867455226953542,0.8673025158825455,0.8897763573909939,0.28182215053193427,0.2278206911575661,0.806851675749734
0.4696839083564585,0.8873170581636665,0.8941597030962011,0.8867455226953542,1.0,0.8903954515207806,0.8527252235696543,0.24590611489681757,0.20192727712475417,0.9527729816266799
0.4793676051107789,0.8811025525369913,0.8682622109668333,0.8673025158825455,0.8903954515207806,1.0,0.8298327045724299,0.2125273091258583,0.1689739427845952,0.7836034865801886
0.24049017453118454,0.8046377974293769,0.855771575380656,0.8897763573909939,0.8527252235696543,0.8298327045724299,1.0,0.47765552169407843,0.47716256462558737,0.7791819067431669
-0.5001425773391872,0.15459826110874622,0.27052455699190664,0.28182215053193427,0.24590611489681757,0.2125273091258583,0.47765552169407843,1.0,0.9633013861990816,0.32191786644316367
-0.5076598924686034,0.12618363815083486,0.22243903260495804,0.2278206911575661,0.20192727712475417,0.1689739427845952,0.47716256462558737,0.9633013861990816,1.0,0.26674830864538657
0.3516168971009074,0.7602415252310353,0.81334882622692,0.806851675749734,0.9527729816266799,0.7836034865801886,0.7791819067431669,0.32191786644316367,0.26674830864538657,1.0
